Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
7,3.968999999999965e-05,0.0062999999999999,2.2955000492712587,UCI Household,S-Naive,15,2010-08-07 17:00:00
8,0.0003447211111111,0.0185666666666666,6.0284646458932105,UCI Household,S-Naive,15,2010-08-07 17:00:00
9,0.0026248544444444,0.0512333333333333,19.751975459384923,UCI Household,S-Naive,15,2010-08-07 17:00:00
10,0.0728280177777777,0.2698666666666666,25.75800948542199,UCI Household,S-Naive,15,2010-08-07 17:00:00
11,0.1233882711111111,0.3512666666666666,70.86751777874056,UCI Household,S-Naive,15,2010-08-07 17:00:00
12,3.3640000000000315e-05,0.0058,1.8136334925948567,UCI Household,S-Naive,15,2010-08-07 17:00:00
13,0.0001239511111111,0.0111333333333333,4.037717528329588,UCI Household,S-Naive,15,2010-08-07 17:00:00
14,0.0072817777777777,0.0853333333333333,30.717542043720748,UCI Household,S-Naive,15,2010-08-07 17:00:00
15,0.00142884,0.0378,13.16614397133152,UCI Household,S-Naive,15,2010-08-07 17:00:00
16,0.0009020011111111,0.0300333333333333,10.729383553509065,UCI Household,S-Naive,15,2010-08-07 17:00:00
17,0.0002559999999999,0.0159999999999999,5.364926701158026,UCI Household,S-Naive,15,2010-08-07 17:00:00
18,0.0085316011111111,0.0923666666666666,33.90224443808201,UCI Household,S-Naive,15,2010-08-07 17:00:00
19,0.00086436,0.0294,10.076545011826632,UCI Household,S-Naive,15,2010-08-07 17:00:00
20,0.0002330711111111,0.0152666666666666,6.109925171226144,UCI Household,S-Naive,15,2010-08-07 17:00:00
21,0.0375713611111111,0.1938333333333333,44.73248919497876,UCI Household,S-Naive,15,2010-08-07 17:00:00
22,0.0243880277777777,0.1561666666666666,16.680611592683615,UCI Household,S-Naive,15,2010-08-07 17:00:00
23,0.0939831211111111,0.3065666666666667,65.70928375976905,UCI Household,S-Naive,15,2010-08-07 17:00:00
24,0.0035800277777777,0.0598333333333333,23.01429534558059,UCI Household,S-Naive,15,2010-08-07 17:00:00
1,0.00128164,0.0358,13.283858751690932,UCI Household,S-Naive,16,2010-08-14 17:00:00
2,0.0001876899999999,0.0136999999999999,4.665417935204866,UCI Household,S-Naive,16,2010-08-14 17:00:00
3,0.00060516,0.0246,8.654860877421257,UCI Household,S-Naive,16,2010-08-14 17:00:00
4,0.0003348899999999,0.0182999999999999,6.4721484266640354,UCI Household,S-Naive,16,2010-08-14 17:00:00
5,0.0026009999999999,0.0509999999999999,18.323352964251143,UCI Household,S-Naive,16,2010-08-14 17:00:00
6,0.0001368899999999,0.0116999999999999,3.9515901387291232,UCI Household,S-Naive,16,2010-08-14 17:00:00
7,0.361481521111111,0.6012333333333333,84.23584295923519,UCI Household,S-Naive,16,2010-08-14 17:00:00
8,0.4640788544444446,0.6812333333333335,83.3635857924767,UCI Household,S-Naive,16,2010-08-14 17:00:00
9,0.0115132899999999,0.1072999999999999,38.883855066427685,UCI Household,S-Naive,16,2010-08-14 17:00:00
10,0.0014263211111111,0.0377666666666666,13.623519263689309,UCI Household,S-Naive,16,2010-08-14 17:00:00
11,0.000961,0.031,11.58878483011618,UCI Household,S-Naive,16,2010-08-14 17:00:00
12,0.0012366944444444,0.0351666666666666,11.729389987280172,UCI Household,S-Naive,16,2010-08-14 17:00:00
13,0.0118229377777777,0.1087333333333333,42.690746446327445,UCI Household,S-Naive,16,2010-08-14 17:00:00
14,0.0030507211111111,0.0552333333333333,18.88426658696907,UCI Household,S-Naive,16,2010-08-14 17:00:00
15,1.2250000000000022e-05,0.0035,1.3148832011480218,UCI Household,S-Naive,16,2010-08-14 17:00:00
16,0.0010261344444444,0.0320333333333333,10.811722830425998,UCI Household,S-Naive,16,2010-08-14 17:00:00
17,0.0067842677777777,0.0823666666666666,32.579602493646185,UCI Household,S-Naive,16,2010-08-14 17:00:00
18,0.00082369,0.0287,8.608708564584683,UCI Household,S-Naive,16,2010-08-14 17:00:00
19,0.2478712177777779,0.4978666666666668,50.92570467322939,UCI Household,S-Naive,16,2010-08-14 17:00:00
20,0.226353921111111,0.4757666666666666,90.11585607744556,UCI Household,S-Naive,16,2010-08-14 17:00:00
21,3.173444444444433e-05,0.0056333333333333,1.8860554340819884,UCI Household,S-Naive,16,2010-08-14 17:00:00
22,0.5169609999999998,0.7189999999999999,112.54891641626206,UCI Household,S-Naive,16,2010-08-14 17:00:00
23,0.01308736,0.1144,32.56475900135554,UCI Household,S-Naive,16,2010-08-14 17:00:00
24,2.61857124,1.6182,154.55587318741223,UCI Household,S-Naive,16,2010-08-14 17:00:00
1,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
2,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
3,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
4,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
5,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
6,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
7,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
8,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
9,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
10,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
11,0.0,0.0,0.0,UCI Household,S-Naive,17,2010-08-21 17:00:00
